PERIODO,MES,PAIS_ORIGEN,ARANCEL,TOTAL_CIF_ITEM_US$,CANTIDAD_MERCANCIA
2015,08,ARGENTINA,17029010,20754,54
2015,08,ARGENTINA,84839000,16952,1
2015,08,ARGENTINA,85158000,23548,35
2015,08,ARGENTINA,19023000,436,4
2015,08,ARGENTINA,84549000,15552,8
2015,08,ARGENTINA,90184900,2141,7
2015,08,ARGENTINA,84834090,756,19
2015,08,ARGENTINA,07019000,148487,2
2015,08,ARGENTINA,85235200,153,61
2015,08,ARGENTINA,04063000,13554,56
2015,08,ARGENTINA,29224900,10771,39
2015,08,ARGENTINA,20089990,21708,3
2015,08,ARGENTINA,25202000,12630,56000
2015,08,ARGENTINA,28439000,148,45
2015,08,ARGENTINA,08134010,104258,1
2015,08,ARGENTINA,09022090,28051,21
2015,08,ARGENTINA,29025000,123954,83640
2015,08,ARGENTINA,84812020,747,43
2015,08,ARGENTINA,23012011,3,53
2015,08,ARGENTINA,85291000,241,32
2015,08,ARGENTINA,30044010,125393,16
2015,08,ARGENTINA,85312000,253,62
2015,08,ARGENTINA,19053200,69476,9
2015,08,ARGENTINA,85232100,758,2
2015,08,ARGENTINA,15152900,72524,8
2015,08,ARGENTINA,04089100,165449,46
2015,08,ARGENTINA,90158000,442,25
2015,08,ARGENTINA,87042112,29366,1
2015,08,ARGENTINA,85122030,81395,2
2015,08,ARGENTINA,84399100,263,38
2015,08,ARGENTINA,85364110,1029,14
2015,08,ARGENTINA,85389000,98290,2
2015,08,ARGENTINA,15159090,155386,38
2015,08,ARGENTINA,85452000,480,6
2015,08,ARGENTINA,10063090,43004,5
2015,08,ARGENTINA,17026020,107766,51
2015,08,ARGENTINA,10063010,50079,84000
2015,08,ARGENTINA,84798910,93932,25
2015,08,ARGENTINA,85255000,190,35
2015,08,ARGENTINA,17049060,123842,27
2015,08,ARGENTINA,30021010,113594,44
2015,08,ARGENTINA,15171090,39586,19
2015,08,ARGENTINA,85442000,956,6
2015,08,ARGENTINA,15162000,578,1
